@id,@lon,@lat,name,addr:street,addr:city,addr:country
34590900,-6.3650748,54.1138544,Border NI/ROI,,,
34590910,-6.3644023,54.1033543,Jonesborough,,,
34590914,-6.3512013,54.0721719,Ravensdale,,,
34678991,-6.2081031,53.1485985,Powerscourt Waterfall,,,
34678992,-6.2113858,53.1460415,Powerscourt Waterfall,,,
34822046,-6.1354806,53.1816688,Bray (South),,,
36315193,-7.9661248,52.9774477,Dunne's Cross Roads,,,
36679014,-9.3595008,52.5870543,Tarbert Ferry Port,,,
36681797,-8.1366424,52.8943981,Kilruane,,,
36683447,-6.0184748,54.5416309,Derriaghy,,Belfast,
36683455,-6.0030136,54.5532922,Dunmurry,Upper Dunmurry Lane,Belfast,
38898168,-7.8822446,52.5023729,Cashel (South),,,
38898590,-7.8649479,52.5138836,Cashel (Centre),,,
38931999,-8.3865298,51.9596078,Killydonoghoe Interchange,,,
38932271,-8.2738940,52.1109285,Fermoy (South),,,
38932438,-8.2713370,52.1183472,Fermoy (South),,,
38932481,-8.3351233,52.0179976,Watergrasshill Interchange,,,
38934733,-8.3077643,52.0503131,Rathcormac,,,
38980642,-6.2360676,53.3051185,#861 Roebuck Road, Bird Avenue,,,
39011260,-6.9484279,52.3853621,New Ross,,,
39014632,-7.1685337,52.3724138,Mullinavat,,,
39014765,-7.1715536,52.3724864,Mullinavat,,,
39014825,-7.1719983,52.3749067,Mullinavat,,,
39016437,-7.2004472,52.4614303,Ballyhale,,,
39016493,-7.2006977,52.4638211,Ballyhale,,,
39016756,-7.2040763,52.4726304,Ballyhale,,,
39016796,-7.2056008,52.4741210,Ballyhale Junction,,,
39017228,-7.2198920,52.4877153,Knocktopher,,,
39018116,-7.2226560,52.5337723,Stonyford,,,
39018278,-7.2286564,52.5379758,Stonyford,,,
39018295,-7.2282981,52.5384712,Stonyford,,,
39019194,-7.2388550,52.5829043,Danesfort Cross Roads,,,
39019231,-7.2402717,52.5858000,Danesfort,,,
39955717,-8.2658043,52.1581623,Fermoy (North),,,
40153194,-7.5836482,52.3616260,Kilsheelan,,,
40153362,-7.5719723,52.3617978,Kilsheelan,,,
40154589,-7.4274703,52.3489360,Carrick-on-Suir,,,
40155372,-7.3845059,52.3522309,Carrick-on-Suir,,,
40157193,-7.2641498,52.2975779,Mooncoin,,,
40157608,-7.2440152,52.2905938,Mooncoin,,,
40195595,-7.1729644,52.3635858,Mullinavat,,,
40197446,-7.1400863,52.5207084,Thomastown,,,
40199433,-7.0976256,52.5857286,Dungarvan,,,
40199517,-7.0962554,52.5885570,Dungarvan,,,
40201482,-7.0230746,52.6766797,Paulstown,,,
40201491,-7.0225723,52.6772677,Paulstown,,,
40201609,-7.0211236,52.6823935,Paulstown Junction,,,
40201653,-7.0178792,52.6828846,Paulstown,,,
40240107,-6.9400832,52.8244221,Carlow,,,
40242936,-6.8373432,52.9155185,Pike Crossroads,,,
40244775,-6.7654696,53.0793007,Kilgowan Cross Roads,,,
40244852,-6.7631652,53.0953783,Halverstown Cross Roads,,,
40244974,-6.7543512,53.1181581,Kilcullen,,,
42312221,-6.9535981,52.3932794,New Ross,,,
42508058,-7.5567755,52.1153703,The Pike,,,
42508254,-7.5179069,52.1691337,Lemybrien,,,
42508609,-7.3427110,52.2255235,Caroll's Cross Roads,,,
42508895,-7.2277820,52.2284265,Kilmeadan,,,
43296286,-6.2179293,53.2888306,#3023 Kilmacud Rd, Mount Anville School,,,
47192240,-6.1503721,53.2621337,Cabinteely Cross - N11,,,
